,X,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG_2020,PEMINAT_2019,JENIS_PORTOFOLIO,nama_prodi,rumpun,DAYA_TAMPUNG_2019,jumlah_peminat_2018,jumlah_peminat_2017,daya_tampung_2018,daya_tampung_2017
97,97,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131011,TEKNIK SIPIL,66,148,Tidak Ada,TEKNIK SIPIL,Saintek,60,262,269,62,55
98,98,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131026,TEKNIK MESIN,55,56,Tidak Ada,TEKNIK MESIN,Saintek,40,124,153,55,38
99,99,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131034,TEKNIK INDUSTRI,56,84,Tidak Ada,TEKNIK INDUSTRI,Saintek,40,138,161,53,42
100,100,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131042,AGRIBISNIS,52,108,Tidak Ada,AGRIBISNIS,Saintek,60,241,294,72,55
101,101,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131057,AGROTEKNOLOGI,69,61,Tidak Ada,AGROTEKNOLOGI,Saintek,60,122,158,79,57
102,102,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131065,PERIKANAN,88,81,Tidak Ada,PERIKANAN,Saintek,60,225,259,54,41
103,103,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131073,KESEHATAN MASYARAKAT,64,235,Tidak Ada,KESEHATAN MASYARAKAT,Saintek,80,400,412,72,55
104,104,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131081,AKUAKULTUR,46,31,Tidak Ada,AKUAKULTUR,Saintek,30,38,46,38,34
105,105,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131096,SUMBER DAYA AKUATIK,53,42,Tidak Ada,SUMBER DAYA AKUATIK,Saintek,30,23,40,23,34
106,106,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131107,TEKNOLOGI HASIL PERTANIAN,59,49,Tidak Ada,TEKNOLOGI HASIL PERTANIAN,Saintek,45,168,  ,40,  
107,107,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131115,ILMU KELAUTAN,46,41,Tidak Ada,ILMU KELAUTAN,Saintek,30,73,  ,58,  
108,108,SUMATERA,4.1456323,96.1951603,UNIVERSITAS TEUKU UMAR,1131123,TEKNOLOGI INFORMASI,58,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
